distance_km,python_pressure_psi,matlab_pressure_psi,absolute_error_psi,relative_error
0.1,265.6402930394608,265.58,0.060293039460816544,0.0002270240208630791
0.2,226.63026129866398,226.58,0.050261298663969,0.0002218258392795878
0.3,203.8149340012768,203.77,0.04493400127680047,0.00022051333011140241
0.4,187.63153969314712,187.59,0.04153969314711503,0.0002214387395229758
0.5,175.083208653851,175.05,0.033208653850977043,0.00018970953356742097
0.6,164.8350542040191,164.8,0.035054204019075996,0.0002127075486594417
0.7,156.17500609445364,156.14,0.03500609445364944,0.00022419683907806738
0.7999999999999999,148.67802076236538,148.65,0.02802076236537232,0.00018850159680707917
0.8999999999999999,142.06993528464076,142.04,0.029935284640771442,0.0002107524967669068
0.9999999999999999,136.16355200917044,136.14,0.023552009170458632,0.00017299845137695486
1.0999999999999999,130.82534931892528,130.8,0.025349318925265152,0.00019380213245615558
1.2,125.95673862466992,125.93,0.0267386246699175,0.00021232926760833396
1.3,121.48284948771135,121.46,0.022849487711354755,0.00018812356093656147
1.4,117.34548274571421,117.32,0.02548274571421416,0.0002172071745159748
1.5,113.49850072811083,113.48,0.018500728110822706,0.0001630307376702741
1.5999999999999999,109.90470825642053,109.89,0.014708256420533417,0.00013384526727212135
1.7,106.53368087432523,106.52,0.013680874325231684,0.00012843479464167936
1.8,103.36021478195768,103.34,0.020214781957676564,0.000195614301893522
1.9,100.36319642349832,100.35,0.013196423498328613,0.00013150397108449043
2.0,97.5247623664185,97.509,0.015762366418499596,0.00016165037502691645
2.0999999999999996,94.82966436900587,94.814,0.015664369005875756,0.00016521156164570376
2.1999999999999997,92.26478228937829,92.25,0.014782289378288738,0.00016024161927684268
2.3,89.81874535863889,89.805,0.013745358638885818,0.00015305783240226954
2.4,87.48163411693078,87.468,0.013634116930774098,0.00015587548510054075
2.5,85.24474323616573,85.232,0.012743236165732696,0.0001495123447265428
2.6,83.10039088848902,83.088,0.0123908884890227,0.00014912969970420158
2.6999999999999997,81.04176411189815,81.03,0.011764111898145302,0.00014518217818271383
2.8,79.06279231226354,79.052,0.010792312263532722,0.00013652168526454386
2.9,77.15804297353118,77.147,0.011042973531175448,0.000143141969631683
3.0,75.32263505581491,75.312,0.010635055814915972,0.00014121329688384285
3.0999999999999996,73.55216659937626,73.542,0.010166599376262297,0.0001382420844723056
3.1999999999999997,71.8426538268559,71.833,0.009653826855895886,0.00013439264482752893
3.3,70.1904796197188,70.181,0.009479619718803178,0.00013507387638824153
3.4,68.59234968900009,68.584,0.008349689000084481,0.00012174397818856411
3.5,67.04525510150299,67.037,0.008255101502982143,0.00012314246614529502
3.5999999999999996,65.54644008675513,65.538,0.008440086755129528,0.00012878157336399537
3.6999999999999997,64.0933742562485,64.086,0.007374256248496636,0.000115068131081619
3.8,62.68372852868886,62.676,0.007728528688858205,0.0001233092202574862
3.9,61.31535418345763,61.308,0.007354183457628949,0.00011995471158134255
3.9999999999999996,59.986264566930764,59.98,0.006264566930767046,0.00010444426360065098
4.1,58.69461905849708,58.688,0.006619058497079777,0.00011278384843715542
4.199999999999999,57.438708969460684,57.433,0.005708969460684443,9.940225063438168e-05
4.299999999999999,56.21694510186281,56.211,0.005945101862813829,0.00010576402951048422
4.3999999999999995,55.027846738200424,55.022,0.00584673820042525,0.0001062618261863482
4.499999999999999,53.870031869057165,53.865,0.005031869057162908,9.34163010705079e-05
4.6,52.74220849536311,52.737,0.0052084953631066355,9.876358843139798e-05
4.699999999999999,51.643166866587435,51.638,0.005166866587437369,0.00010005938625503251
4.799999999999999,50.57177253661421,50.567,0.004772536614211731,9.438045789174226e-05
4.8999999999999995,49.52696013612306,49.523,0.003960136123055236,7.996559423005947e-05
4.999999999999999,48.50772777460871,48.504,0.003727774608712764,7.685499358223578e-05
5.1,47.51313199721741,47.509,0.004131997217406536,8.697293602068104e-05
5.199999999999999,46.54228323175042,46.539,0.0032832317504158937,7.054796515644714e-05
5.299999999999999,45.59434166980693,45.591,0.0033416698069288486,7.329669906185099e-05
5.3999999999999995,44.6685135333712,44.665,0.0035135333711977523,7.866413010629693e-05
5.499999999999999,43.764047684404034,43.761,0.0030476844040308038,6.964384735336952e-05
5.599999999999999,42.88023254035278,42.877,0.003232540352776425,7.539101039663281e-05
5.699999999999999,42.016393263089405,42.014,0.002393263089402353,5.696346668735072e-05
5.799999999999999,41.171889192742356,41.169,0.0028891927423586594,7.017884190431294e-05
5.8999999999999995,40.346111501302204,40.344,0.002111501302202612,5.2337430651462716e-05
5.999999999999999,39.538481043837855,39.536,0.002481043837853747,6.275404284332626e-05
6.099999999999999,38.74844638772305,38.747,0.0014463877230497246,3.7329024777395015e-05
6.199999999999999,37.97548200250579,37.974,0.0014820025057957764,3.9026768467787867e-05
6.299999999999999,37.21908659499739,37.217,0.0020865949973938314,5.6065641975275585e-05
6.3999999999999995,36.4787815758584,36.477,0.0017815758584021069,4.884107405768312e-05
6.499999999999999,35.754109645448494,35.753,0.0011096454484942342,3.1036429068728056e-05
6.599999999999999,35.04463348801401,35.043,0.0016334880140078667,4.6613817709895464e-05
6.699999999999999,34.349934564437476,34.349,0.0009345644374789686,2.7207908162653022e-05
6.799999999999999,33.669611994787125,33.669,0.0006119947871283671,1.8176803205570915e-05
6.8999999999999995,33.00328152279937,33.002,0.0012815227993669964,3.883167078864906e-05
6.999999999999999,32.35057455522003,32.35,0.0005745552200266957,1.7760594127564006e-05
7.099999999999999,31.711137269631966,31.711,0.00013726963196702968,4.328770204882523e-06
