distance_km,python_pressure_psi,matlab_pressure_psi,absolute_error_psi,relative_error
0.1,279.5420951890261,279.54,0.0020951890260789696,7.495131380406988e-06
0.2,236.6399796838495,236.65,0.01002031615050214,4.234234587154929e-05
0.3,211.57555674296287,211.59,0.014443257037129342,6.826058432406702e-05
0.4,193.82540597729272,193.85,0.02459402270727651,0.00012687140937465313
0.5,180.09124248754028,180.12,0.028757512459719692,0.00015965751976304514
0.6,168.90354692893575,168.93,0.02645307106425321,0.0001565919082711964
0.7,159.4780550043659,159.5,0.021944995634100906,0.0001375861795241436
0.7999999999999999,151.34625983011392,151.37,0.023740169886082185,0.00015683536953215422
0.8999999999999999,144.20560779491927,144.23,0.024392205080715712,0.00016912019053397847
0.9999999999999999,137.8491794074943,137.87,0.02082059250571433,0.0001510161202996615
1.0999999999999999,132.12907214268017,132.15,0.020927857319833265,0.00015836441407365316
1.2,126.93579018815262,126.96,0.024209811847370588,0.00019068849911287484
1.3,122.18591783916453,122.21,0.02408216083546222,0.0001970555669377483
1.4,117.81437865139799,117.83,0.015621348602010698,0.00013257530851235424
1.5,113.76937534450683,113.79,0.02062465549317949,0.00018125191574988565
1.5999999999999999,110.00896891541484,110.02,0.011031084585155781,0.00010026435725464263
1.7,106.49869868199349,106.51,0.01130131800651668,0.00010610569905658324
1.8,103.20988496709609,103.22,0.01011503290391147,9.799489346940001e-05
1.9,100.11839206645388,100.13,0.011607933546116556,0.00011592862824444778
2.0,97.20370918429397,97.212,0.008290815706033072,8.528592875399202e-05
2.0999999999999996,94.4482557655063,94.455,0.006744234493694989,7.140156152342374e-05
2.1999999999999997,91.8368482292095,91.842,0.005151770790504884,5.6093843671793776e-05
2.3,89.3562847945095,89.36,0.003715205490493645,4.1575710502390836e-05
2.4,86.99501806049147,86.997,0.001981939508524988,2.2781699466935504e-05
2.5,84.74289372755744,84.744,0.001106272442555678,1.3054286351313108e-05
2.6,82.59093982560138,82.591,6.017439861238927e-05,7.285830007190768e-07
2.6999999999999997,80.53119497958578,80.53,0.0011949795857759682,1.483893686546589e-05
2.8,78.5565671889078,78.555,0.0015671889077992773,1.9950212052692727e-05
2.9,76.66071670928594,76.658,0.002716709285934371,3.543934469897951e-05
3.0,74.83795815990716,74.835,0.0029581599071661913,3.952909610698459e-05
3.0999999999999996,73.08317810584637,73.079,0.004178105846378344,5.717245510171655e-05
3.1999999999999997,71.3917652034118,71.387,0.004765203411793095,6.675169725290453e-05
3.3,69.75955062514711,69.754,0.00555062514710869,7.95742917554361e-05
3.4,68.18275695847838,68.177,0.005756958478372098,8.444135820543729e-05
3.5,66.65795413762768,66.652,0.005954137627682599,8.933171739306545e-05
3.5999999999999996,65.18202125115945,65.176,0.006021251159452845,9.238448446441704e-05
3.6999999999999997,63.7521132881279,63.746,0.006113288127899352,9.59007330326507e-05
3.8,62.3656320593524,62.359,0.006632059352398301,0.0001063528817395773
3.9,61.02020066795732,61.014,0.006200667957315886,0.00010162697015956807
3.9999999999999996,59.71364101319097,59.707,0.006641013190971989,0.00011122671028475706
4.1,58.44395389983368,58.437,0.006953899833682442,0.00011899823457197396
