simulation_id,fault_id,python_ppf_psi,matlab_ppf_psi,absolute_error_psi,relative_error
1,DEMO_TX_VARIABLE_FSP_W01_SEG_001,917.111162465799,917.11,0.001162465798984158,1.2675314836651634e-06
1,DEMO_TX_VARIABLE_FSP_W01_SEG_002,917.8398489030637,917.84,0.0001510969362925607,1.646223048598456e-07
1,DEMO_TX_VARIABLE_FSP_W01_SEG_003,730.0603695520573,730.06,0.00036955205735011987,5.061940900064651e-07
1,DEMO_TX_VARIABLE_FSP_W01_SEG_004,811.5257746934128,811.53,0.004225306587159139,5.206593209319605e-06
1,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1921.2924477542115,1921.3,0.007552245788474465,3.930799869085757e-06
2,DEMO_TX_VARIABLE_FSP_W01_SEG_001,743.288306940784,743.29,0.001693059215995163,2.2777909241280834e-06
2,DEMO_TX_VARIABLE_FSP_W01_SEG_002,949.310396536732,949.31,0.00039653673206885287,4.17710476102488e-07
2,DEMO_TX_VARIABLE_FSP_W01_SEG_003,692.9299101118133,692.93,8.988818660782272e-05,1.2972188620469992e-07
2,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1093.3981086701742,1093.4,0.0018913298258667055,1.729769366989853e-06
2,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1728.721489847514,1728.7,0.0214898475139762,1.2431218553812807e-05
3,DEMO_TX_VARIABLE_FSP_W01_SEG_001,799.642944950851,799.64,0.0029449508509742373,3.682845844347753e-06
3,DEMO_TX_VARIABLE_FSP_W01_SEG_002,796.5284634484125,796.53,0.0015365515874918856,1.9290567680964755e-06
3,DEMO_TX_VARIABLE_FSP_W01_SEG_003,749.7628945336446,749.76,0.0028945336446213332,3.860613589176981e-06
3,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1238.265909963376,1238.3,0.03409003662386567,2.752970735998197e-05
3,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1932.7530481856304,1932.8,0.04695181436954954,2.4292122500801705e-05
4,DEMO_TX_VARIABLE_FSP_W01_SEG_001,816.6336276700575,816.63,0.0036276700575399445,4.442244416124738e-06
4,DEMO_TX_VARIABLE_FSP_W01_SEG_002,822.0739862970343,822.07,0.003986297034202835,4.849096833849714e-06
