circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle1,0,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0
circle1,1,2749.622406787389,2749.6,0.022406787389172678,8.149108011773595e-06,23.795950123550735,23.796,4.987644926401913e-05,2.096001397882801e-06
circle1,2,2748.490007353914,2748.5,0.009992646086175228,3.6356725800164556e-06,47.56793974242338,47.568,6.025757662087017e-05,1.2667670833516265e-06
circle1,3,2746.603941929813,2746.6,0.003941929813208844,1.4352034563492479e-06,71.292032478137,71.292,3.247813700113511e-05,4.555649582160005e-07
circle1,4,2743.9661096230966,2744.0,0.033890376903400465,1.2350720445845651e-05,94.94434018031195,94.944,0.0003401803119515989,3.5829574480914953e-06
circle1,5,2740.5791665072957,2740.6,0.020833492704241507,7.601799862891888e-06,118.50104698001242,118.5,0.0010469800124184303,8.835274366400256e-06
circle1,6,2736.4465229470297,2736.4,0.04652294702964355,1.7001515505643745e-05,141.93843327030766,141.94,0.0015667296923425056,1.1037971624225065e-05
circle1,7,2731.5723401640553,2731.6,0.027659835944632505,1.0125873460474632e-05,165.2328995899055,165.23,0.0028995899054962138,1.7548810176700442e-05
circle1,8,2725.9615260472674,2726.0,0.0384739527326019,1.4113702396405687e-05,188.36099038580943,188.36,0.0009903858094162388,5.257941226461238e-06
circle1,9,2719.619730210873,2719.6,0.01973021087314919,7.254820882905276e-06,211.29941763107226,211.3,0.0005823689277519861,2.7561236523993663e-06
circle1,10,2712.553338305709,2712.6,0.04666169429083311,1.7201833772333964e-05,234.02508427386533,234.03,0.004915726134669285,2.1004683735714586e-05
circle1,11,2704.769465589431,2704.8,0.030534410569089232,1.1288971668548222e-05,256.51510749425154,256.52,0.004892505748443909,1.9072609342132815e-05
circle1,12,2696.2759497620546,2696.3,0.024050237945630215,8.919718853847945e-06,278.74684174524566,278.75,0.0031582547543393957,1.133006189897541e-05
circle1,13,2687.081343074052,2687.1,0.018656925948107528,6.943145379073175e-06,300.6979015549603,300.7,0.002098445039678154,6.978533553967922e-06
circle1,14,2677.194903714966,2677.2,0.005096285033687309,1.903587716153933e-06,322.3461840668787,322.35,0.0038159331213023506,1.1837856743608966e-05
circle1,15,2666.626586491193,2666.6,0.02658649119302936,9.97018345197231e-06,343.6698912955578,343.67,0.00010870444219790443,3.1630471730993227e-07
circle1,16,2655.3870328023386,2655.4,0.01296719766151,4.883331197375159e-06,364.64755207535154,364.65,0.0024479246484361283,6.7130800724972675e-06
circle1,17,2643.487559926233,2643.5,0.01244007376681111,4.705910257919845e-06,385.25804368005475,385.26,0.0019563199452363733,5.0779212615801626e-06
circle1,18,2630.940149623386,2630.9,0.04014962338578698,1.52607941714953e-05,405.48061309169816,405.48,0.0006130916981419432,1.5120146447221643e-06
circle1,19,2617.7574360723747,2617.8,0.04256392762545147,1.6259426856693202e-05,425.29489789707804,425.29,0.004897897078024016,1.1516605323482837e-05
circle1,20,2603.952693148294,2604.0,0.04730685170579818,1.8166993742626028e-05,444.68094679098033,444.68,0.0009467909803220209,2.129151255559101e-06
circle1,21,2589.539821057091,2589.5,0.039821057091103285,1.5377894223249e-05,463.61923966545385,463.62,0.0007603345461575373,1.63999513859958e-06
circle1,22,2574.5333323392333,2574.5,0.03333233923331136,1.2947111762793303e-05,482.09070726490444,482.09,0.0007072649044630452,1.4670806373561893e-06
circle1,23,2558.9483372568156,2558.9,0.04833725681555734,1.8889857679298658e-05,500.07675038721874,500.08,0.0032496127812464692,6.498185852756498e-06
circle1,24,2542.800528578802,2542.8,0.0005285788020046311,2.078727395015853e-07,517.559258611584,517.56,0.0007413884159177542,1.432468536822309e-06
circle1,25,2526.106165779741,2526.1,0.0061657797409679915,2.4408296349978193e-06,534.5206285341472,534.52,0.0006285341472676009,1.175885181597697e-06
